image_path,rel_path,split,label,spoof_type,illumination,environment,source_dataset,source_split
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\AGL752VM_id147_s0_105.png,LCC_FASD_development/real/AGL752VM_id147_s0_105.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\AGL752VM_id147_s0_120.png,LCC_FASD_development/real/AGL752VM_id147_s0_120.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\AGL752VM_id147_s0_135.png,LCC_FASD_development/real/AGL752VM_id147_s0_135.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\AGL752VM_id147_s0_15.png,LCC_FASD_development/real/AGL752VM_id147_s0_15.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\AGL752VM_id147_s0_150.png,LCC_FASD_development/real/AGL752VM_id147_s0_150.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\AGL752VM_id147_s0_30.png,LCC_FASD_development/real/AGL752VM_id147_s0_30.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\AGL752VM_id147_s0_45.png,LCC_FASD_development/real/AGL752VM_id147_s0_45.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\AGL752VM_id147_s0_60.png,LCC_FASD_development/real/AGL752VM_id147_s0_60.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\AGL752VM_id147_s0_75.png,LCC_FASD_development/real/AGL752VM_id147_s0_75.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\AGL752VM_id147_s0_90.png,LCC_FASD_development/real/AGL752VM_id147_s0_90.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
