image_path,rel_path,split,identity,label,spoof_type,illumination,environment
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\1753\spoof\157628.jpg,Data/train/1753/spoof/157628.jpg,train,1753,1,2,4,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\6662\live\387489.jpg,Data/train/6662/live/387489.jpg,train,6662,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\4503\spoof\480905.jpg,Data/train/4503/spoof/480905.jpg,train,4503,1,5,1,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\1728\live\486316.jpg,Data/train/1728/live/486316.jpg,train,1728,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\9822\spoof\295376.jpg,Data/train/9822/spoof/295376.jpg,train,9822,1,10,3,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\1260\spoof\048473.jpg,Data/train/1260/spoof/048473.jpg,train,1260,1,2,1,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\7159\live\145485.jpg,Data/train/7159/live/145485.jpg,train,7159,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\548\spoof\390499.jpg,Data/train/548/spoof/390499.jpg,train,548,1,1,2,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\4391\live\418808.jpg,Data/train/4391/live/418808.jpg,train,4391,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\2315\spoof\283626.jpg,Data/train/2315/spoof/283626.jpg,train,2315,1,3,1,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\8140\live\018605.jpg,Data/train/8140/live/018605.jpg,train,8140,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\3827\spoof\491768.jpg,Data/train/3827/spoof/491768.jpg,train,3827,1,4,4,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\163\spoof\259432.jpg,Data/train/163/spoof/259432.jpg,train,163,1,1,1,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\5851\live\409690.jpg,Data/train/5851/live/409690.jpg,train,5851,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\6724\live\132610.jpg,Data/train/6724/live/132610.jpg,train,6724,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\7683\live\191098.jpg,Data/train/7683/live/191098.jpg,train,7683,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\2731\live\154174.jpg,Data/train/2731/live/154174.jpg,train,2731,0,0,0,0
